Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
ACBD3	3780.14	2790.1	3375.11	4365.11	1577.04	4197.1	5758.19	5918.17	4891.14	0	5360.14	0	4469.16	3142.11	4509.15	2752.09	0	5553.2	2000.07	0	1626.05	3708.1	20308.5	0
ACBD5	0	0	0	0	0	0	0	5056.17	3499.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD6	5184.17	3071.1	5461.18	711.02	0	1799.06	0	5521.18	7649.26	729.022	0	0	2764.08	4844.16	4531.14	2095.07	3071.1	2129.07	1331.04	2055.06	1736.06	0	0	0
ACE2	0	0	0	0	0	0	0	0	679.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACIN1	15520.5	13406.4	12542.7	1900.07	4049.11	4658.13	69360.9	62060.7	89316.8	0	1781.06	0	9182.25	4780.16	7082.41	31873.9	41624.1	27942.8	9803.27	7934.22	9252.26	1855.07	0	5442.16
ACKR3	0	0	0	0	0	0	0	0	0	0	0	0	3153.11	0	0	0	0	853.029	0	0	0	0	0	0
ACLY	58353.5	57134.4	68616.8	20877.5	24569.6	18879.5	70869.9	87247.7	100828	11933.3	22754.6	18280.5	63941.8	70852.1	97962.8	38017	56411.5	30404.8	32440.9	28903.8	32357.8	11846.3	19055.5	18655.5
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6666.23	0	0	0	0	0	0	0
ACO1	1600.06	1332.05	13261.3	0	0	688.024	1938.07	6762.17	4107.17	0	0	0	2819.08	4836.13	25158.7	676.023	799.032	1061.04	879.036	2465.06	1277.05	0	0	0
ACO2	1985.05	3797.13	4131.1	719.016	1252.03	0	0	4634.16	2811.07	0	0	1098.04	4792.17	1925.05	3719.09	0	5320.2	0	0	0	0	3508.13	3180.11	0
ACOT1	22747.7	16764.5	29881	2652.07	2117.06	2083.06	16504.5	16663.6	24398.8	0	0	0	72516	73309.1	93873.6	15681.4	27369	15178.5	11098.3	9602.29	9743.28	2898.08	9153.49	0
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11868.4	0	0	0	0	0	0	0	0	0
ACOT2	930.03	0	0	0	0	0	0	0	0	0	0	0	17275.6	0	4543.22	0	0	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918.053	0
ACOT7	20160.6	16955.5	17030.5	8471.26	9685.27	6066.16	19275.7	20953.6	18796.6	7094.21	8790.26	12884.4	39083.2	38515.2	39378.3	48231.6	81258.7	48272.4	9215.3	7667.22	10387.3	0	5189.16	4480.13
ACOT8	1339.06	1466.05	1337.05	0	0	0	0	0	11562.4	0	0	0	9501.34	11327.3	11600.4	1553.06	2132.08	3137.1	0	0	0	0	0	0
ACOT9	22663.6	8565.23	12526.5	5727.15	7088.19	5198.13	19967.8	26134.9	29499.1	3385.08	6130.16	4974.13	30819.9	28303.8	35890.3	20450.6	33903.9	16954.4	7798.21	8384.21	7330.2	0	5178.14	4277.11
ACOX1	0	0	0	0	0	0	0	0	0	0	0	0	535.02	0	0	0	4316.11	0	0	0	0	0	0	0
ACOX3	0	0	0	0	0	0	0	0	0	0	0	0	3828.15	0	3729.14	0	0	0	0	0	0	0	0	0
ACP1	0	0	9286.27	4689.14	5773.17	0	0	5869.21	11797.4	5634.17	10102.3	9226.29	0	6815.2	11368.3	5351.17	8786.34	3905.13	3434.09	4115.12	4019.12	4266.13	4835.15	6321.19
ACP4	0	0	0	2731.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2752.12
ACSBG1	0	0	0	0	0	0	0	0	21144.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347.06	0	0	0	984.025	0	0	0	0	0
ACSL1	0	0	0	0	0	0	0	30862.4	0	0	0	0	0	0	0	0	24469	0	0	20824	0	0	0	0
ACSL3	8688.39	5037.23	9784.5	3139.15	3613.18	2866.14	9053.45	10468.5	19159.9	0	2891.08	4729.22	7131.35	6422.32	11293.5	7203.37	10740.5	6211.29	2738.14	9008.29	3404.18	0	0	0
ACSL4	4245.11	3597.11	5434.21	2422.07	2155.06	1217.05	6844.21	5901.16	7644.22	1434.04	2579.07	0	3768.1	6699.2	11026.3	5521.16	5466.18	2874.08	1126.04	1967.06	2591.11	0	0	0
ACTB;ACTG1	2882980	3717330	2190660	307048	309933	139339	200823	331223	324639	132241	327990	276582	342331	219906	195720	301747	275510	126844	158797	140608	193920	274118	298408	223501
ACTBL2	2399670	2567430	2035010	318713	267242	119048	249521	388021	616856	195711	248713	24434.4	343307	259172	335526	246924	282210	164675	14343.7	101162	148677	220268	205559	223301
ACTC1	1488280	1370820	1623680	86997.3	56257.4	32864.8	74788.9	109393	155532	27236.7	65917.6	27374.7	108397	72691.9	102646	64664.6	64345.7	42204	29291.7	30798.8	35512.9	3703.1	11257.3	41331
ACTL6A	3388.1	3656.1	5285.15	0	0	0	0	6410.16	6690.19	0	0	0	5886.17	5564.16	5154.15	1869.05	2722.07	0	1706.05	0	0	0	0	0
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	2695.07	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	14498.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTMAP	4217.16	4171.14	29016.7	0	0	0	0	0	6015.22	0	0	0	0	0	5184.2	0	0	1061.04	0	0	0	0	0	0
ACTN1	73046.8	68558.9	74726.3	4017.11	2404.06	3082.08	17575.4	15463.5	18441.5	0	0	0	18856.5	15573.5	17957.5	4580.11	7426.18	2566.07	4882.12	4117.1	4815.11	0	0	0
ACTN2	0	0	0	0	0	0	0	0	801.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	292947	254969	370970	9769.24	7294.21	8140.23	47106.3	56796.6	93623.6	3179.09	3159.09	3219.11	49806.4	55057.6	73692.1	12502.3	16571.5	9074.28	16266.4	11304.3	8693.25	1939.06	3024.09	5702.15
ACTR10	4878.12	2112.06	0	0	0	0	0	6577.16	5793.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR2	31237.2	26410.9	14224.5	11889.4	13802.4	7468.22	102127	95882.3	93130.8	5607.18	10642.3	10798.3	26138.8	25873.9	26591.9	48418.6	76653.3	45573.6	7816.24	23556.7	8506.29	10101.3	10199.3	10988.3
ACTR3	21620.7	15937.6	24173.8	12843.4	14599.4	8222.22	15001.4	21666.6	23701.7	7814.22	12943.3	8775.23	27134.9	17631.4	23397.6	11455.3	14720.5	6595.19	6983.21	5000.15	9998.28	10224.2	10732.3	13263.4
ACTR5	0	1223.05	0	0	0	0	1573.07	2349.11	3608.16	0	0	0	1512.06	16631.6	0	1172.05	1488.06	667.029	0	0	0	0	0	0
ACTR8	0	0	0	0	0	0	0	0	1289.06	0	0	0	0	0	0	0	1715.04	0	0	0	0	0	0	0
ACVR2A	4943.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5074.23	0	0	0	0
ACY1	2068.08	0	0	0	0	0	2774.11	2707.1	4949.17	0	0	0	3101.1	0	0	0	0	0	0	0	0	0	0	0
ACYP2	13597.3	10168.3	13028.3	12334.3	13430.4	7265.21	0	17553.4	20172.5	9834.27	16605.4	13754.4	14987.4	9839.28	15932.4	17013.4	16927.4	9046.23	7790.2	5945.15	9794.23	6928.17	12682.3	12696.3
ADA	5539.16	10356.4	13631.5	13309.3	14052.4	9430.23	3104.09	10320.4	12939.5	7136.16	20118.5	16740.4	9785.34	6262.14	14849.5	11916.3	7979.23	7203.18	5073.17	9819.24	12838.3	8938.21	15154.4	13316.3
ADA2	3303.09	0	0	0	0	0	0	1430.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAL	0	0	0	0	0	0	0	0	0	0	0	0	1624.05	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3198.08	0	0	0	0	0	0
ADAM17	0	0	0	0	0	0	2881.1	0	0	0	0	0	0	0	0	16811.5	26257.8	14112.4	0	0	0	0	0	0
ADAM28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8121.22	0	0	0	0	0	0	0
ADAM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220.04	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1756.07	0	0	0	0	0	0
ADAMTS17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2272.08	0	0	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185.04	0	0	0
ADAR	26868.7	24256.8	39008.5	17842.5	14842.4	13934.4	74236.9	82415.4	107570	7564.23	14125.4	12144.4	33494.3	36721.3	65032.4	40623.2	53663.7	37676.1	34716	24148.7	34281.1	8874.23	12750.4	15174.4
ADARB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058.06	0	0	0	0	0	0	0	0	0
ADAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2692.09	0	0	0	0	0	0
ADAT3	0	0	0	0	0	0	0	43945.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCK2	0	0	0	0	0	0	0	0	10706.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCK5	0	5188.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY1	0	0	0	0	0	0	0	0	3424.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY10	0	0	0	1487.05	0	701.021	0	0	0	0	0	0	0	0	3210.16	0	0	0	0	16711.9	0	0	0	0
ADCY3	0	0	0	0	0	0	0	8787.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY4	0	0	0	0	0	0	0	0	0	0	0	0	0	18129.5	0	0	0	0	0	0	0	0	0	0
ADCY5;ADCY6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16222.4	0	3734.12	0	0	0	0	0
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480.016	0	0	0	0	0
ADCY9	5498.21	0	5910.25	0	0	0	0	0	3660.1	0	0	0	0	3951.12	0	0	0	0	0	0	0	0	0	0
ADD1	85555.3	71136.9	96201.8	8209.21	1395.07	1334.06	42084.2	41934.2	28583.9	0	0	0	23519.6	12109.4	24316.7	10165.3	21855.6	1831.09	7120.2	2301.1	7284.23	0	0	0
ADD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9121.26	0	0	0	0
ADD3	89006.5	82486.3	108392	7506.22	9052.28	8574.25	49464.6	39720.2	56988.6	0	0	6930.22	29221.9	27541.9	34976.1	10691.4	18350.5	9073.26	9464.28	9644.28	11808.3	0	0	0
ADGRA3	0	0	4004.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2741.12	0
ADGRE1	0	0	0	0	0	1585.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	3009.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE5	4588.13	0	0	0	0	0	0	0	0	0	0	0	4954.14	0	0	0	0	1229.03	0	1590.04	0	0	0	0
ADGRF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1089.02	0	0	0	0	0	0
ADGRG1	0	0	265.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1704.05	0	0	0	0	0
ADGRL2	5900.18	12318.4	0	0	0	0	8484.24	0	8305.22	0	0	0	0	0	7003.2	0	0	0	0	0	0	0	0	0
ADGRV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3862.16	0	0	0	0	0	0
ADH1A;ADH1C	0	0	0	0	0	0	0	8132.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH7	0	0	18738.7	0	0	0	0	0	0	0	0	0	0	0	0	1655.06	0	0	0	0	0	0	0	0
ADI1	8398.31	7718.27	11948.4	8054.29	12370.4	4914.18	6377.24	11441.4	20340.7	7709.28	10783.3	10294.4	10878.4	9431.35	16083.6	14527.5	14523.5	9191.38	4877.18	5626.22	6381.24	8134.26	5877.23	6371.22
ADIPOR1	0	0	0	0	0	0	0	0	0	0	0	0	0	29121.3	0	0	0	0	0	0	0	0	0	0
ADISSP	0	0	4763.17	0	1589.06	0	0	4190.17	7267.3	0	0	0	3469.13	2265.1	4321.17	2637.1	2572.09	1451.05	0	0	948.04	0	0	0
ADK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284.03	0	0	0	0	1203.03	0	0	0
ADNP	15772.4	16793.4	20148.6	3733.1	3869.1	2961.08	117655	110479	173413	0	0	0	14714.4	17846.5	22276.6	60262.6	88129.2	57743.5	17058.4	16253.5	15773.4	0	3901.1	5086.13
ADNP2	0	0	0	0	0	0	0	3210.08	14336.5	0	0	0	0	0	0	1397.03	1776.04	1207.03	0	0	520.01	0	0	0
ADO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5498.25	0	0	0	0	0	0	0	0	0
ADPGK	873.031	2386.06	3160.08	0	0	0	1586.04	3514.1	6678.17	0	0	0	1459.04	2182.05	3804.1	1803.04	2348.06	0	1178.03	764.018	0	0	0	0
ADPRS	0	0	0	0	0	0	0	0	0	973.029	0	0	0	0	0	934.023	0	0	0	0	0	0	0	0
ADRM1	5243.15	5131.14	5970.18	1757.05	1678.04	1679.05	3304.1	4997.15	10979.3	0	0	0	5750.17	4724.14	6778.21	3227.09	4780.15	2387.07	2198.06	1444.04	0	0	0	0
ADSL	20769.7	20522.6	22150.7	4619.16	5807.19	948.025	20649.6	22363.7	22920.8	0	4579.14	0	17656.6	20355.7	14596.5	7992.23	11498.3	5236.16	5776.18	5864.18	6638.21	0	0	4157.12
ADSS2	11755.5	5021.17	6202.2	6530.22	6962.27	3455.12	6419.21	7873.26	9139.32	3778.13	3655.11	6117.22	6887.24	4986.17	7971.27	5325.17	7719.27	5663.19	4944.17	1587.05	3429.1	2493.07	5213.16	3242.1
AFAP1	150333	169083	203196	1019.04	3301.09	5570.14	40972	39127.9	51299.3	0	0	0	29705.8	31150.8	31493.8	2876.08	7422.18	1385.03	7451.18	5972.16	9778.25	0	0	0
AFAP1L1	2539.07	3592.1	3922.1	0	0	0	1256.04	1824.05	1553.07	0	0	0	1151.05	2593.07	963.042	0	0	0	0	0	0	0	0	0
AFAP1L2	0	0	4363.12	9623.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4418.18
AFDN	33176.8	21178.7	32004.1	15984.5	21310.6	16062.4	19520.6	19732.7	23138.7	0	0	2480.08	12058.4	11504.4	18625.6	851.035	4139.13	0	2759.11	4069.13	4731.14	0	0	0
AFF1	0	0	0	0	0	0	17030.5	27343.8	17829.5	0	0	5409.17	1028.02	0	0	5655.17	9613.29	3281.09	1593.05	1599.05	0	0	0	0
AFF4	1824.08	1633.05	0	0	0	0	22884.6	22998.6	22384.6	0	0	0	0	0	3334.13	12653.3	15002.4	7033.19	7130.18	3227.12	4095.11	0	0	0
