Protein	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
FAM83G	8116.26	10353.3	16993.7	0	0	0	2683.11	3367.09	2814.07	0	0	0	8796.21	4605.12	5543.14	5418.23	2816.07	5066.2	0	0	0	0	0	0
PGP	0	0	0	1069.04	0	0	0	0	0	4392.13	4752.13	0	1760.06	0	0	0	0	0	2074.06	8843.24	8276.21	4464.11	1680.04	0
RIMOC1	0	988.043	1854.08	0	0	0	0	800.033	1213.05	0	0	0	0	0	0	0	1592.07	1720.08	0	0	0	0	0	0
TUBAL3	15532.7	14849.6	20068.9	3846.16	0	3712.15	13237.6	5836.26	8749.36	1327.05	1955.08	0	2773.11	3108.12	0	11804.5	8200.35	12898.5	0	0	0	0	1069.04	0
FBLL1	0	0	0	0	0	0	0	43669.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCHD1	9250.29	9588.28	9238.28	19543.6	15947.5	17439.4	6228.16	5602.18	7775.29	0	0	0	10854.3	8252.21	11073.3	88328.3	25596.7	33713.9	0	0	0	1082.03	0	0
ARHGAP42	13319.3	16299.6	17471.5	0	3073.09	0	31436.9	30152.8	32148.9	0	1893.05	0	3609.09	4731.13	4983.14	11557.3	12360.3	16972.5	0	0	0	0	0	0
METTL15;METTL15P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3455.1	0	0	0	0	0	0	0
CCDC85C	12184.4	14207.4	18155.6	0	0	0	14688.5	11189.4	16106.5	3035.09	3697.11	6011.18	5551.17	5385.18	5013.17	12018.4	14611.5	16692.5	0	0	0	0	0	0
SAC3D1	0	0	0	0	0	0	0	0	0	0	3863.2	0	0	0	0	0	0	0	0	815.028	0	0	0	0
ZSWIM8	6865.21	5319.16	8418.26	0	1699.04	0	5076.15	2338.06	4803.15	0	0	0	1491.04	2621.08	6628.2	7387.23	6524.21	4897.16	0	0	0	0	0	0
ARHGAP32	13385.5	13789.4	22900.7	0	0	0	7181.19	8851.25	8952.23	6669.18	7473.19	6521.17	1166.04	6517.19	1263.05	11149.3	4892.18	5885.2	0	0	0	0	0	0
POM121C	0	0	0	44754	62466.5	29487.7	0	841.043	0	0	0	0	0	0	0	10500.4	8459.4	11976.3	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	18338.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L8	0	0	2198.07	10033.3	16065.5	9306.28	2015.07	0	0	0	0	0	0	2982.08	0	8393.28	5160.16	6606.23	0	0	0	0	0	0
CYSRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614.022	0	0	0	0	0	0
FAM171A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2082.12	0	0	0	0	0	0
PHF20L1	0	0	0	4568.16	6780.18	4971.14	0	0	0	0	0	0	0	0	0	0	0	7236.25	0	0	0	0	0	0
SNRPG;SNRPGP15	10078.3	10193.4	7853.28	22154.8	30339	18527.6	16603.6	13655.5	17058.6	4415.15	3056.11	3167.11	6208.21	1449.05	5135.18	67197.1	52175.8	42805.5	2055.06	3530.13	3041.1	3190.1	3663.12	4979.16
AHRR	0	0	0	5532.2	9583.34	4283.14	0	0	0	0	0	0	0	0	0	6693.24	0	0	0	0	0	0	0	0
MYO9A	7009.23	4578.2	7904.2	0	0	0	8858.28	7743.24	12234.4	0	0	0	2098.05	1151.05	1998.06	9815.38	9539.31	8500.21	0	0	0	0	0	0
IQCJ-SCHIP1;SCHIP1	2715.11	2666.12	3443.15	0	0	0	1814.07	1413.05	2299.09	0	0	0	0	0	0	2860.11	3495.15	3857.14	0	376.009	0	0	0	0
GPR89A;GPR89B	6702.24	7903.25	7462.21	17373.5	26035.8	20097.5	2394.08	2963.1	4503.15	0	0	0	0	0	0	7742.19	8156.28	7700.26	0	0	0	0	0	0
WASH2P;WASH3P	2718.09	2244.07	4774.15	0	0	0	6553.18	4142.14	8333.22	0	0	0	0	0	0	0	2574.09	3732.13	0	0	0	0	0	0
NACA	13500.5	10570.4	18172.7	2225.09	4687.19	2093.08	13281.5	12187.4	15101.6	0	1316.06	1337.05	1738.06	2523.08	2936.1	19783.7	17130.7	22481	0	0	3387.12	0	0	0
AGPS	7482.23	8590.31	8719.36	2808.08	4292.15	1534.04	3297.15	4109.13	7242.24	1834.06	1814.06	0	1890.06	2412.07	3405.1	6348.21	6419.21	10874.4	966.029	1898.06	0	1010.03	1467.05	0
UBXN8	0	0	0	6736.19	8671.26	5157.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF2A	12000.3	12618.3	20313.5	7198.2	11536.3	6413.17	7869.21	7425.21	13508.4	3056.09	2430.07	1915.05	13002.4	9881.28	14420.4	12731.3	13448.4	25800.8	0	0	0	0	0	0
DDX39A	264738	319594	340181	200660	311335	189346	101541	99394.5	96355.8	43013.2	41570	33693.8	54205.5	51118.3	52936.5	131975	145815	184332	29094.8	41183.1	39172	29363.8	30221.8	42037.1
PDLIM1	80627.2	74243	83700.6	18381.5	20262.5	14636.4	147983	145865	169850	14551.4	11545.3	12442.3	21140.5	19939.5	21967.6	83466.2	70199	81889.5	0	3966.11	3312.08	5972.16	1246.04	6510.17
ACOT7	39083.2	38515.2	39378.3	48369.6	81258.7	52137.5	19435.6	16955.5	17030.5	8471.26	9198.26	6066.16	9215.3	7335.21	9529.29	19275.7	20953.6	18796.6	7080.21	10593.3	12615.4	6371.2	5189.16	2197.06
MYO1C	39899	39238	27951.7	19945.5	23703.6	10419.3	58110.4	44659.2	53773.3	5911.15	6988.17	6553.16	15724.4	12622.3	8753.22	35054.9	35580.9	44685.3	2072.05	2612.07	1503.04	863.035	1521.04	1403.05
SNAP23	21053.8	16797.6	22814.9	4783.12	8149.21	4336.15	16810.5	16172.6	27324	7813.28	10199.3	10308.3	5626.22	3781.14	3883.14	27193.1	30481.1	40426.6	2926.1	4572.12	6011.15	2149.08	3977.11	4378.17
AIP	25037.9	26611	36629.4	14117.5	27448	15043.6	20556.7	18142.7	28117	6570.23	6569.24	3370.12	7068.28	6181.2	8420.31	17669.7	27035	41039.5	5210.22	6795.17	5106.16	3162.11	3374.09	5184.16
GTPBP1	7934.29	6822.26	25488.6	1182.04	4857.19	2278.08	4432.17	3981.15	14876.6	0	0	0	2268.09	2208.06	2740.1	11099.4	9373.36	20585.7	0	0	0	0	0	0
STXBP3	4631.12	5654.17	7182.2	2006.1	12312.3	1760.05	6628.17	4483.13	6082.15	2848.08	0	2574.07	0	305.009	1330.03	5618.14	9036.28	12264.3	0	0	0	0	0	0
AP4M1	22582.6	22875.6	46820.5	6809.17	9101.25	0	11091.3	8384.24	15992.4	0	0	0	4940.14	4009.1	5839.16	14402.4	20029.6	26052.7	0	0	0	0	0	0
SMAP	7966.34	6613.29	12366.6	55779.5	85740.8	31454.2	8500.36	5932.24	13758.6	2012.08	2262.1	0	4399.18	4816.2	4144.18	43833	39006.5	32841.4	0	0	0	0	0	0
AP3B1	18117.5	60050.2	34777.9	6505.18	11344.3	5231.15	34132	30652.8	40968.1	7265.21	11041.3	9454.25	15411.4	17116.5	19074.5	46941.3	54127.3	57903.5	0	0	0	0	1850.05	2494.07
APBB1	29436.1	31358.2	42601.6	27872.1	45660.8	27315	23597.9	19539.8	26777.1	6728.27	6801.27	8223.32	11038.4	11009.4	10335.4	32369.2	28121.9	48754.9	0	0	0	0	0	0
LGALS8	2540.07	2369.1	3099.13	0	0	0	1397.04	1254.05	2594.06	0	0	0	0	0	0	1816.07	2890.07	3000.11	0	0	0	0	0	0
NDUFS8	1551.04	2570.07	3618.14	1877.06	0	0	2832.1	1198.03	2268.07	0	0	0	0	0	0	1377.04	2632.07	3664.1	0	0	0	0	0	0
NFKBIE	4552.14	1618.04	7475.23	0	0	0	0	0	5509.16	0	0	0	0	0	0	0	0	13883.5	0	0	0	0	0	0
PSMD11	5594.16	3382.1	5460.17	1666.06	2344.07	2260.07	7899.32	4691.13	5936.2	2000.09	1033.03	0	1309.04	0	0	6406.18	7476.21	10988.4	0	0	0	0	0	0
PSMD12	13395.4	11684.3	16272.4	7002.18	7153.19	4981.14	12180.3	9077.23	14420.4	3398.09	4381.12	3812.11	1527.05	3663.09	6600.18	10430.3	15020.5	19653.6	2458.08	2896.07	3426.08	2653.08	0	0
PSMD9	5196.14	15739.4	5727.17	13316.3	5069.15	6613.18	0	2957.08	0	14181.4	15753.4	9918.27	12475.3	11774.3	9910.27	0	0	23173.6	5103.14	15185.4	13531.3	9839.26	12303.3	10941.3
ATOX1	0	0	0	5912.15	5053.14	1519.04	3656.1	0	2924.08	3609.09	4470.12	1618.04	0	4271.11	3153.09	5656.15	5227.14	3091.08	0	4591.12	5956.17	3798.09	3033.08	2219.06
MEN1	4166.13	5615.17	5814.18	793.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBX4	0	0	0	8057.21	7226.17	4632.11	0	0	0	0	0	0	6031.14	4913.14	6790.16	11470.3	4307.17	10068.3	0	0	0	0	0	0
PGRMC1	14616.5	14893.5	15732.6	16225.5	14484.5	7005.26	9795.34	11826.4	27159	0	0	0	7033.26	5770.2	7156.25	5801.21	22213.9	33679.3	0	0	0	0	0	0
SUPT5H	2825.12	5223.17	6533.29	20157.6	30107.9	14514.4	4389.21	2125.05	0	0	0	0	0	0	1348.03	9313.31	7511.25	22520.6	0	0	0	0	0	0
TAF4	3893.14	0	9002.32	6401.2	9464.31	5609.17	3004.12	2701.1	0	0	0	0	1734.06	0	4614.15	18222.6	17114.5	20623.6	0	0	0	0	0	0
DFFA	9075.38	7732.31	10285.4	5594.22	12118.5	4627.2	9669.43	6955.3	13079.5	0	0	0	0	0	0	13005.6	12161.4	23751.9	0	0	0	0	0	0
HIP1	0	2381.06	0	0	0	0	0	0	1954.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIC1	10074.5	14096.4	15758.5	12449.4	5084.22	11635.4	10416.3	8117.26	13117.4	4452.14	4491.23	4868.15	6778.2	6127.17	6520.19	11038.3	14549.5	12601.3	3838.11	6059.19	7015.22	3444.11	4690.14	6457.2
EIF3F	89800.6	82733.3	124104	25590.7	55806.6	26681.8	72459.2	68732	79132.2	15188.4	19492.5	14531.4	28676.8	25628.7	29369.8	83687.4	83566.4	93191.5	7385.17	11753.3	11818.3	6719.18	11247.3	10960.3
CDC7	0	0	0	4439.15	6355.24	4685.17	0	0	0	0	0	0	2316.09	1534.04	4608.12	3312.09	2900.07	7852.2	0	0	0	0	0	0
DCTN6	0	0	0	0	0	0	0	0	1873.05	0	0	0	0	0	0	0	1470.04	3126.09	0	0	0	0	0	0
SLC33A1	6795.25	910.037	0	12750.4	21744.8	7780.28	0	413.014	0	0	0	0	0	0	0	5384.2	6767.27	1298.05	0	0	0	0	0	0
WASL	36445	34095.9	36773	0	14415.4	0	157076	151301	141193	8456.23	9217.24	8013.19	29254.7	23997.6	22590.6	48805.3	36805	39761	0	0	0	1271.03	0	0
PDE2A	19391.8	19078.9	31324.2	0	2692.11	1795.08	13790.6	11997.5	16359.7	4276.11	5686.16	4429.13	10051.3	7985.24	8086.25	16627.7	17221.7	22106.9	0	0	0	0	0	0
IPO5	24320.9	24577.9	25850.7	14051.5	21295.7	12303.4	18157.5	17275.4	21375.6	3116.11	5555.14	5001.12	8136.2	7824.22	8112.21	14097.4	22033.6	20228.6	1647.04	3311.09	3662.13	1587.05	1560.04	2062.07
POLRMT	9677.28	10159.3	15195.4	3252.08	4229.13	0	5913.17	0	7343.22	0	0	0	0	0	0	6008.19	1061.04	16606.4	0	0	0	0	0	0
EEF2K	10922.3	10342.3	38809.2	0	1304.05	3747.09	13319.3	13797.3	14351.4	0	0	0	5936.15	6093.16	5401.13	14831.3	14422.3	14011.3	0	0	0	0	0	0
IGF2BP3	19684.5	24567.9	26907	12005.3	14348.4	7117.2	15502.6	13334.3	18148.6	4311.1	2993.1	4396.09	9718.25	12792.5	9261.23	20953.6	21786.5	26849.7	0	5060.12	0	0	0	2332.09
DNM1L	28770.7	27154.7	48110.3	4372.1	5284.21	3659.09	26761.7	21594.5	47045.1	1500.04	1233.03	1655.04	7938.19	4315.1	5354.14	57582.5	47579.2	60264.4	0	0	0	696.019	0	0
PIK3C2A	71641.3	72067.4	100369	7308.25	10333.3	5080.17	40214.3	28696.9	44217.4	6892.21	9167.29	7579.22	20872.6	20013.6	18233.7	53628.6	46540.5	50197	0	416.01	1723.06	2289.06	3353.09	2921.08
PLK4	3542.09	1249.03	5507.14	0	0	0	0	6204.16	0	0	0	0	0	1622.05	0	2265.06	0	5327.16	0	0	0	0	0	0
IFRD1	0	0	0	0	0	0	2457.07	0	0	0	0	0	0	0	0	2341.07	3943.11	5728.18	0	0	0	0	0	0
PIK3R2	3744.18	0	0	0	0	0	2543.08	0	4005.12	0	0	0	2041.07	1040.03	1212.03	0	2971.1	5522.16	0	0	0	0	0	0
TRAF5	10756.3	22308.7	11904.3	0	0	0	4328.12	11439.3	4478.11	0	0	0	0	3008.07	1573.06	13753.4	8030.21	8707.22	0	0	0	0	0	0
PLOD2	5809.23	4975.13	6960.25	7304.2	5932.2	6363.15	5010.16	3423.12	8801.35	8492.19	6312.15	3657.11	4357.12	3121.08	5847.16	0	8188.29	10835.3	4824.11	10790.3	9634.26	5173.13	5095.15	6575.18
MEIS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5264.16	0	0	0	0	0	0	0
EXOC5	5721.17	15144.4	6830.2	1664.05	0	0	18347.5	0	5880.18	0	0	0	0	0	0	0	6003.17	4969.15	0	0	0	0	0	0
ELL2	2470.08	0	0	9281.29	11956.4	2904.1	0	0	3387.12	0	0	0	0	0	1773.06	4737.18	7774.27	10677.4	0	0	0	0	0	0
NDUFA4	17182.6	16360.6	15254.5	12469.3	14421.4	8070.26	16388.5	14513.4	22509.7	5213.16	6203.2	3580.11	8807.26	5417.17	8191.26	11298.3	24090.8	28272.8	0	4805.14	4208.13	0	0	0
PSMD14	15852.5	14074.5	8682.32	6196.22	8782.3	5504.18	12141.4	10435.4	11579.4	0	0	2832.09	5527.18	4276.14	6013.2	12322.4	10710.3	7235.22	1696.06	0	3772.11	2383.07	0	2777.09
BIN1	4453.17	12400.4	12383.4	17076.6	5937.24	7536.27	9567.25	6724.18	13560.4	0	17893.6	4310.12	6339.17	6640.19	6764.25	17152.5	11415.4	17995.5	0	0	0	0	0	0
KPNA3	31225.8	32931.8	38001	45515.1	55201.5	34428.9	23418.6	20573.5	22048.5	5974.16	5084.14	4099.1	11666.3	11870.3	10995.3	28304.8	30465.8	40210.4	0	1507.05	1803.06	1630.06	0	0
BCL9	0	0	0	5903.19	8745.3	2654.08	0	0	0	0	0	0	0	0	0	11725.4	10079.3	9102.27	0	0	0	0	0	0
KRIT1	4655.17	0	2729.1	0	1407.05	1706.06	3072.1	3045.1	2732.09	0	0	0	0	0	0	2421.08	3732.12	3427.16	0	0	0	0	0	0
PES1	11252.3	10386.3	14269.4	18138.5	34308.8	18768.5	11278.3	8755.21	11961.3	0	2258.06	0	6182.15	6019.15	6586.16	34086.9	37583.9	50039.3	0	0	0	0	0	0
SDCBP	11041.3	11472.3	12614.3	4020.12	12973.4	2848.08	10225.3	7921.22	10846.3	608.029	926.044	0	3676.1	866.043	918.035	6580.21	12419.4	9401.26	0	0	0	0	0	0
PITPNM1	11991.3	11445.3	14882.4	0	0	0	9872.28	0	11219.3	0	0	0	4634.12	4157.1	0	10729.3	5554.15	15174.3	0	0	0	0	0	0
MPHOSPH10	2332.06	2386.06	0	1773.07	3012.15	1815.05	0	0	0	0	0	0	872.036	851.032	0	4635.23	4004.13	6679.18	0	0	0	0	0	0
NOP56	7922.27	7614.21	7308.26	14306.5	20295.7	10328.3	10530.3	6681.16	10787.3	3413.08	2298.09	2305.06	4399.1	6520.14	5977.17	21084.7	16417.6	25588.9	1392.05	2777.1	3425.08	3303.09	2310.07	2037.08
DDX3X	288110	269087	310846	60139.6	84859.8	41603.1	188415	174906	192283	41904.2	55620.7	50249.6	110242	111187	104564	192235	186115	224712	11519.3	24190.6	22480.6	19640.5	21023.6	22561.6
PODXL	0	0	0	0	0	0	5483.16	5310.15	5685.18	0	0	0	0	0	0	6779.23	7174.26	3595.11	0	0	0	0	0	0
PIR	10022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14575.5	0	0	0	0	0	0	0
KPNA4	0	0	0	6769.32	842.025	8509.35	0	0	997.038	0	0	0	0	0	0	1255.05	2873.11	5045.19	0	0	0	0	0	0
NFIB	0	0	26280.8	28194.8	49212.4	27070.8	0	0	0	0	0	0	0	0	0	23148.6	26727.8	28429.9	0	0	0	0	0	0
E2F3	0	0	0	4183.11	0	2941.14	0	0	0	0	0	0	0	0	0	948.025	0	1785.05	0	0	0	0	0	0
PPP6C	7473.39	0	14969.8	5648.27	9634.49	6492.34	8175.37	0	9426.44	0	0	0	0	0	0	8344.41	0	14724.8	0	0	0	0	0	0
PIK3C2B	8199.19	9954.26	12927.3	0	0	0	5585.21	5030.2	7057.28	0	0	0	0	0	0	7133.27	5744.14	8452.21	0	0	0	0	0	0
UBE2C	0	5428.2	0	0	0	0	4912.15	0	6337.21	0	0	0	0	0	0	4749.17	5588.2	9388.34	0	0	0	0	0	0
ACACB	23381.6	49631.7	49576.5	35846.9	36015.9	21839.5	21725.2	18498.5	42296.2	29427.5	39522.8	25272.7	19321	28717.4	40637.3	26539.7	36267.7	25361.9	19219.7	42425	97572.2	26173.6	32987.6	32508.8
SCD	5414.16	0	0	29127.1	23389.8	25075.8	0	0	0	0	0	0	0	0	0	1253.05	6018.2	2251.09	0	0	0	0	0	0
ARID1A	1322.04	0	1107.03	8294.24	14443.4	5407.15	6212.2	4483.13	6393.2	0	0	0	3236.08	1905.06	1377.05	29377.9	23387.8	25445.1	0	0	0	0	0	0
BHLHE40	0	0	0	8563.25	13367.4	4019.13	0	0	0	0	0	0	0	0	0	7503.25	10164.3	7672.22	0	0	0	0	0	0
NCKAP5	4897.19	5910.17	30222	0	0	0	3065.09	0	3614.11	0	0	0	9407.25	9213.23	7869.21	3072.09	4317.13	4297.17	0	0	0	0	0	0
NEMP1	0	0	14456.4	0	0	0	7851.23	0	0	0	0	0	0	0	0	0	0	6341.18	0	0	0	0	0	0
TXNDC9	5328.14	5704.14	8132.19	8329.21	16870.4	13591.3	16180.4	16982.4	17580.4	2164.05	2011.05	3356.07	5404.12	4910.12	7071.19	18555.4	17307.5	16405.4	0	0	0	470.011	1666.05	0
UBFD1	15246.5	5469.17	21712.7	8764.29	10095.3	8337.26	11060.3	9342.34	6533.24	5764.17	7838.26	3200.11	4260.14	3784.11	4436.13	13267.4	19923.7	22813.8	7274.21	9139.3	9549.33	4933.16	7883.25	7000.21
CIT	12052.4	9339.28	14863.5	5897.16	7951.22	7060.22	19111.5	13888.4	7547.22	0	0	0	3355.09	7191.19	6024.14	16381.5	16048.4	18578.5	0	0	0	0	0	0
CTDSP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7962.22	0	0	0	0	0	0	0	0
CDC42EP2	12156.3	11690.3	14067.4	7591.19	14745.4	8209.21	5189.2	6870.21	6080.17	4037.1	5245.15	0	13011.3	15664.5	12002.3	15836.5	10553.3	18763.8	0	0	0	2241.06	0	0
AP3D1	41138.3	42110.4	60769	16723.5	34824.1	22340.8	34078.2	31076.1	47249.5	6611.2	10377.3	7791.24	20428.6	15859.5	16886.6	57655	55354.9	70263.4	0	0	0	0	0	0
CCS	0	0	3243.11	2363.08	5143.17	2221.07	2585.09	2674.09	4672.16	2160.07	2917.1	1862.06	0	0	2073.07	3532.12	4511.15	6606.24	2438.09	3879.12	2543.09	1633.05	0	2218.07
ZNF195	0	0	0	22023.6	10333.3	14916.4	0	0	0	0	0	0	0	0	0	14129.4	18106.5	23921.7	0	0	0	0	0	0
ABLIM1	27571.8	19603.5	35669	0	4377.16	1503.04	119419	85666.3	110734	4042.12	5405.14	2766.07	6070.17	8691.22	5275.15	29659.9	23409.7	20619.8	0	0	0	1317.04	1411.04	0
DVL1	39548.4	31935.2	57461	8325.29	11128.4	6600.24	25450.8	20582.6	33467.2	5466.18	7581.23	6085.2	11662.4	10443.4	11679.3	32756.1	32807.2	30225.1	0	0	0	0	0	0
DVL2	185262	183836	284854	30805.9	56234.7	34558	148435	113144	165894	24863.8	28919.9	36171	57587.7	63250.8	71177	169035	148628	154338	0	0	2081.06	4984.16	7487.23	6847.2
CHD1	8551.22	10943.3	11539.3	27955.7	38206.9	22314.6	10211.3	8399.24	6807.18	0	0	0	5833.16	6458.18	5123.13	31292.8	33540.8	35856.9	0	0	0	0	0	0
CHD2	0	0	0	3092.14	3279.12	0	0	0	0	0	0	0	0	0	0	1488.05	2125.08	2109.07	0	0	0	0	0	0
GOSR2	0	0	0	2278.08	915.039	5114.17	1972.07	0	0	0	0	0	0	990.031	0	0	0	9039.3	0	4360.14	0	0	2877.09	604.024
EI24	6805.16	9040.21	0	9720.22	18425.5	8506.2	0	4267.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2D	2357.08	0	13655.4	6766.19	10532.2	6798.17	0	0	11748.3	0	0	0	0	0	458.014	14847.4	17053.4	19258.5	0	0	0	0	0	0
RGPD8	0	317.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7526.21	0	0	0	0	0	0
APAF1	0	0	2256.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIOK3	5169.14	6003.17	7133.27	0	0	0	12104.3	11607.3	13715.4	0	0	0	5152.13	3805.11	3968.1	14538.4	13820.4	17787.5	0	0	0	0	0	0
IMPA2	0	0	0	7179.19	0	0	0	0	0	0	0	0	0	514.015	0	0	0	0	0	0	0	0	6248.16	0
ACOT8	9187.33	10817.3	11143.4	1508.06	2132.08	3084.1	1339.06	1466.05	1292.05	0	0	0	0	0	0	0	0	10866.4	0	0	0	0	0	0
CDIPT	51419.4	46651.2	60362.6	12872.3	19083.5	14033.4	15380.4	11496.3	19961.5	2975.08	4169.11	681.024	7536.21	7244.22	8187.21	12869.4	19846.6	27536.8	2331.06	4292.12	5822.15	2519.06	0	0
