Protein	Empty_1	Empty_2	Empty_3	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
RANBP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45720.21
PACS1	0	0	0	91238.72	80867.14	49889.17	65837.305	22893.457	165170.67	0	0	0	133541.22	38286.44	0
BCOR	0	0	0	4995477.5	4950904.5	4544348	0	27325.889	42894.023	0	17053.154	0	339643.03	126526.875	160591.81
MPRIP	0	0	0	703258.75	941560.3	644501.1	573719.4	468052.03	711106.75	0	0	0	408678.47	301807.84	303243.6
RAB11FIP1	0	0	0	317151.56	429890.12	196177.47	1109445.6	1196321.2	1448764.1	0	0	5690.868	1.70E+07	2.01E+07	1.91E+07
DNMBP	0	0	0	474340.16	567165.1	579969.4	278408	184770.16	405572.12	0	0	0	258463.64	98462.59	231127.12
HACD2	0	0	0	0	9100.281	0	0	0	0	0	0	0	0	0	0
B3GLCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIGYF2	0	14103.135	0	2323445.2	2219082.8	2141178	313183.2	293110.9	353749.03	58368.605	26406.746	49035.582	527490.06	488783.44	549018.3
CD109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THADA	0	91076.95	155610.56	152405.72	121277.39	258199.05	45469.445	12358.248	65877.44	0	15816.594	6397.7793	50238.71	17682.686	94951.45
HSDL2	0	0	0	70071.05	93143.81	57976.21	25434.742	32333.688	34593.664	77896.64	163863.64	110335.64	78166.98	37227.8	68313.6
KYAT3	0	0	0	0	0	0	0	0	0	27406.537	26870.102	70178.98	0	20889.066	0
CERS6	0	0	5691.49	4883.116	8813.473	6835.6685	4036.1538	5388.6357	41967.188	0	2173.2246	0	8577.328	43582.082	6274
PPP1R21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14587.584
SYNE3	0	0	0	0	0	0	0	0	17595.793	0	0	0	14125.982	38581.77	42746.4
ZNF793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF574	0	0	0	75441.19	106465.25	60580.984	0	0	0	0	0	0	0	0	0
NFXL1	0	0	0	51163.797	86385.09	56927.645	282641.38	274365.88	305268.38	76186.28	27538.629	31327.184	225971.66	157596.69	217976.67
NBEAL2	0	0	0	0	0	0	0	0	0	0	0	0	1315295.6	1447009.8	1282489.5
SLCO4C1	0	0	0	0	0	0	0	0	0	0	0	0	98119.53	65620.266	41623.637
DNAH12	0	0	0	0	37919.684	17585.973	113237.42	115435.31	0	0	114903.67	95888.21	41802.992	0	0
ZNF493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C15orf39	0	0	0	191799.1	38205.65	151247.36	0	0	0	0	0	0	0	0	0
QSOX2	0	0	0	69533.48	36650.895	23832.543	21935.887	12398.87	61358.355	0	0	0	97934.4	75940.33	15170.721
MMS22L	0	0	0	0	11730.716	29489.71	0	0	0	0	0	0	0	0	0
SRCAP	0	0	0	201748.4	248371.88	81900.58	0	0	26663.633	0	0	0	39567.156	16967.738	0
FAM83H	0	0	0	163997.4	248564.69	204063.45	55495.758	25262.195	71594.51	0	0	0	0	12848.966	2840.0725
NBEAL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17844.812
	0	0	0	0	124273.79	87127.14	43014.246	52202.207	53187.938	0	0	0	51106.844	51947.027	57910.742
ARHGEF18	0	0	0	21851.633	0	0	0	0	0	0	0	0	0	0	0
TSHZ1	0	0	0	49331.4	161348.36	161227.22	0	0	0	0	0	0	0	0	0
TBC1D9	0	0	0	1029682.25	2114824.8	2207936.8	966968.8	780914.06	1055441	0	0	0	3137473	3590682.2	3368299.5
TMPPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD13D	0	0	0	0	19718.479	23116.357	12058.761	0	0	0	0	0	27913.943	29490.266	89986.7
UBN2	0	0	0	49311.496	129729.67	18316.213	0	0	0	0	0	0	0	0	0
BEND4	0	0	0	20781.33	0	0	0	0	0	0	0	0	0	0	0
CEP128	0	0	0	0	0	16421.912	0	0	0	0	0	0	0	0	0
PIK3AP1	0	0	0	0	0	0	0	0	18718.607	0	0	0	0	20458.594	20672.8
NKAPD1	0	0	0	0	0	0	0	0	0	0	21913.027	0	0	28993.004	0
DENND5B	0	0	0	28828.172	33544.223	68748.89	37736.418	36718.85	56474.81	0	0	0	1887244	1729131.8	1734392.9
FGD6	0	0	0	0	0	0	20307.395	5319.4453	19900.832	0	0	0	0	0	804.57104
GPRIN3	0	0	0	0	0	0	37053.918	22337.027	17753.402	0	0	0	0	0	0
TOM1L2	0	0	0	0	0	0	36720.34	0	2596.3394	0	0	0	21188.523	0	0
NCCRP1	0	0	6617.3438	0	0	0	0	0	0	0	10446.541	0	0	0	0
SYDE1	0	0	0	0	0	0	0	0	0	0	0	0	16645.814	0	0
PAXIP1	0	0	0	49492.68	50716.6	55151.71	11346.23	0	0	0	0	0	35731.797	0	0
ANKS3	0	0	0	74376.42	0	0	0	0	0	0	0	0	0	0	0
PLEKHM3	0	0	0	0	0	0	0	0	0	0	0	0	24232.062	68084.09	62465.477
STXBP4	0	0	0	18365.834	0	0	73324.58	44668.95	66654.836	0	0	0	27947.102	60102.99	26341.223
TMTC3	0	0	0	0	0	14053.656	0	0	0	0	0	0	0	0	0
VPS13C	0	0	0	8362660.5	8492871	8761045	4658152.5	3666365.2	5011622	3115.3657	78889.91	25029.447	1.82E+07	1.91E+07	1.81E+07
ACAD11	0	0	0	0	0	0	0	0	0	0	0	0	0	30645.193	0
USP34	0	0	0	249509.16	236838.89	146445.19	0	0	0	0	0	0	0	12896.666	36662.387
USP30	0	0	0	0	0	0	0	0	0	0	0	0	0	7725.911	0
USP31	0	0	0	0	0	14594.8	101271.77	89865.59	111509.125	0	0	0	0	0	12168.758
RAPH1	0	0	0	69248.414	55741.562	73028.2	455859.66	381759.53	543566.25	0	0	0	46714.04	32490.27	35020.023
USP53	0	0	0	185687.89	0	0	9487.642	0	178539.86	0	0	0	0	0	0
USP54	0	0	0	25296.225	28542.23	72200.73	89745.81	89102.59	91335.05	0	0	0	0	10849.508	13667.618
USP43	0	0	0	0	0	0	81046.86	0	79215.086	0	0	0	0	0	0
CHSY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKBIP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRA10AC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3C15	0	0	0	12145.609	0	0	0	0	0	0	0	5179.5737	0	0	9615.452
CENPU	0	0	0	5137.219	30291.59	0	0	0	0	0	0	0	5707.6045	0	0
MED13L	0	0	0	16035.607	0	0	0	0	0	0	0	0	0	0	0
ILDR2	0	0	0	0	0	0	77202.16	80948.66	62995.36	0	0	0	29647.723	19386.135	41998.453
LARP4	15348.789	21897.906	20224.486	175484.28	75776.08	52563.49	74328.33	32613.916	24437.383	0	0	5866.1035	93664.17	452138.34	82325.83
TUBA1A	2790741.2	3366480.8	3463906.8	7088041	8707660	8938660	9718981	9236416	9797206	3765905.8	4553305	5436321.5	1.16E+07	1.37E+07	1.25E+07
RPS27L	38661.746	46926.824	62896.9	163086.1	139038.23	150288.25	216103.25	198373.69	213130.66	27329.582	45768.47	72019.3	164534.78	134777.33	159574.1
CBLL1	0	0	0	40801.97	41830.21	44289.914	0	0	0	0	0	0	0	0	0
INTS8	0	0	0	24761.398	0	34593.402	0	0	0	0	0	0	0	0	0
PGAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL8	0	0	0	120311.81	257349.28	203211.52	0	0	3822.59	0	0	0	16887.012	572123.94	0
SSH2	0	0	0	0	48050.203	23440.23	0	0	0	0	0	0	0	0	0
ASXL2	0	0	0	0	45961.88	54013.04	0	0	0	0	0	0	0	0	0
BTN2A1	0	13330.247	0	0	16089.373	0	57808.49	35270.383	0	0	14502.789	0	95422.21	20038.812	10669.996
SUPT6H	0	0	0	34411.402	343094.5	69204.664	0	0	0	0	0	0	0	0	0
SND1	242320.12	290130.66	125907.82	601919.9	826261.25	804089.1	1372834.2	1317596	1231771.2	496201.12	524641.4	547956.3	1090708.2	1196595.6	1299907.6
MARK2	0	0	0	0	0	0	842421.25	797577.8	738354.2	0	0	15688.716	50672.22	38543.08	38098.926
DDX46	47388.742	46275.582	94137.19	1917178.8	2035087	1930409.8	711636.1	598366.94	690879.7	137056.95	169128.05	303267.25	573251.4	649048.9	556184.56
RUFY3	0	0	0	88737.586	130221.11	39871.977	18130.021	0	26679.672	0	0	0	121184.09	148387.73	94403.61
SV2A	0	0	0	0	0	0	0	0	0	0	0	0	46419.46	68807.664	67100.53
RHOU	0	0	0	0	0	0	313308.88	256570.02	286234.53	0	0	3079.7905	406528.4	343148.56	375307.3
TRMT10C	9226.636	30360.877	11292.174	45811.184	89614.31	101661.77	161364.48	116185.61	106121.82	1280814.6	2654449.2	2142937.2	315741.2	215753.02	189819.98
BZW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASRGL1	54838.574	68576.836	58924.395	108779.15	204647.62	146962.4	93017.2	106166.81	30107.824	50960.855	65065.133	86419.73	244251.92	168040.5	272709.72
KCTD9	0	0	0	10919.601	0	0	0	533683.94	0	0	0	549040.06	0	0	0
DHX30	72421.234	69941.01	111936.47	939916.44	1229848.2	1290047.8	1467628	654486.6	721650.4	2043970.9	2462024.8	2791938.5	1191844	975946.2	1149803.8
EIF3M	0	13258.255	0	167179.69	283049.72	237921.92	260169.47	166349.17	178246.5	24608.96	0	1861.1715	235657.84	190362	202016
MEPCE	0	0	0	85413.8	165253.31	105075.14	95748.07	46735.863	87407.37	9023.411	20631.402	25576.371	216154.56	120643.42	193418.53
CENPQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSRC2	0	2613.1924	2588.0486	53266.477	156147.4	188897.81	21288.055	26074.066	18901.586	0	28691.836	61709.11	65257.06	60436.9	82849
RRAGA	0	0	0	22536.914	0	0	149614.98	108824.77	93214.44	0	7014.0254	0	94972.484	228457.33	123062.75
CYFIP1	8102.5586	9680.668	17280.953	470332.78	364247.94	140573.73	865867.5	392746.44	724614.8	0	70016.625	64475.062	310522.06	688845.9	469315.66
MCM10	0	0	0	74512.87	48066.008	149142.9	0	0	0	0	174429.9	0	9134.303	0	0
NDUFAF7	0	0	0	0	0	0	0	0	0	25077.932	142363.88	132330.33	0	0	0
GET4	0	0	0	0	0	0	0	0	17390.898	0	0	16351.296	0	0	0
COPS6	0	0	0	240589.05	252648.28	242020.4	194659.56	182564.14	179974.81	0	10755.607	22611.5	180747.31	107048.31	100882.25
LPCAT2	0	0	0	0	4287.592	0	0	0	0	0	0	0	136326.66	0	0
MAEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G2E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPM2AIP1	0	0	0	28966.441	0	0	0	0	8364.357	0	0	0	0	0	0
DHX32	96479.625	163387.12	77107.19	491992.03	366754.78	266665.5	111392.06	236385.98	110934.14	42720.996	71379.89	128597.766	493102.88	309842.34	440509.72
TAOK1	0	0	0	0	0	0	22910.64	22161.436	57425.984	0	0	0	0	0	0
RAB11FIP2	0	0	0	0	0	0	118551.7	58115.523	75220.61	0	0	0	7176153	6763719.5	6731606
SH3BP5L	0	0	0	0	0	0	0	0	0	0	0	0	0	18536.654	0
FASTKD5	0	0	0	28780.637	0	0	0	0	0	233610.36	565283.5	612034.44	30471.934	39031.54	12750.381
EEPD1	0	0	0	0	0	0	81684.88	109231.695	107454.4	0	0	0	0	0	0
MOB1B	0	22381.723	9741.371	33982.086	0	17521.541	96359.17	14601.684	0	0	0	5081.147	48683.633	61753.4	39324.227
KDM3B	0	0	0	3132192.5	3191576.2	3284072	82500.695	22790.34	80262.99	5801.1167	7135.041	4626.908	165914.81	131938.66	179538.52
RRM2B	9153.066	13646.674	7691.388	274297.22	83802.17	0	0	0	0	0	0	0	52806.402	28596.723	34114.74
HS2ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRADA	0	0	0	0	85085.984	93564.67	0	0	31058.533	0	0	0	61971.152	106092.664	97587.54
MICAL3	0	0	0	63030.38	19442.898	0	318488.94	306634.1	420921.56	0	0	0	695537	921467.8	823238.2
BHLHA15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYM	0	0	0	28158	26528.363	26960.09	0	0	0	0	0	0	1056639.9	0	7993.397
PHF5A	13857.041	89915.42	48530.375	0	0	0	0	0	0	0	0	16297.555	0	0	0
OTOA	0	0	0	924.3055	0	0	0	0	0	0	0	0	0	3280.0898	0
CATSPER4	20279.445	26490.941	0	0	0	0	0	0	0	0	0	0	0	0	0
ERMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPRIN1	0	0	0	0	43283.867	32071.148	909015.44	829336.44	1015748.94	0	0	0	152667.45	49401.656	101392.79
TRMT1L	21929.418	58604.67	37487.957	1333506	1384094.6	1433660.5	248492.36	236412.8	275658.28	40597.35	97207.72	205695.38	567646.4	361923.12	504225.75
ZC3HAV1	77008.54	112942.77	121793.1	3754261.8	3703052.8	3874257	1.28E+07	1.18E+07	1.33E+07	174738.44	297522.22	335676.94	1.56E+07	1.91E+07	1.69E+07
MRPL21	0	0	0	0	0	0	0	0	0	6344.057	0	15696.694	0	0	0
TICRR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFL1	0	0	0	0	0	0	0	9127.386	20139.34	0	0	0	0	70208.56	0
PABIR2	0	0	0	0	95201.64	0	0	0	0	0	0	0	0	0	0
SETX	0	0	0	384955.47	390615.2	428979.66	0	0	0	0	0	0	0	0	26883.188
ZNF551	0	0	0	14237.05	0	0	0	0	0	0	0	0	0	0	0
KANSL1	0	0	0	21909.61	0	19931.693	0	0	0	0	0	0	0	0	0
NUP54	0	0	0	70172.86	40142.016	22298.832	13951.054	0	16692.457	0	0	0	31597.617	20639.418	27498.379
ATG9A	0	0	0	40325.688	81690.32	0	0	0	59569.098	0	0	0	69886.89	0	0
CCDC186	0	0	0	0	30467.996	0	0	38692.324	19330.95	0	0	0	29117.375	0	54615.12
ZNF572	0	0	0	0	9789.158	3950.8777	0	0	0	0	0	0	0	0	0
VPS35L	0	0	0	24756.486	58476.797	0	23258.438	52185.69	0	0	0	0	71986.57	0	77090.7
POGZ	0	0	0	596039.75	868056.5	484844.5	81400.49	56559.664	51754.91	0	0	0	108406.31	120341.46	153876.5
MIER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFYVE16	0	10842.404	2096.5615	989393.56	851287.5	780229.25	1405111.2	1362435.2	1671388	20048.504	34151.383	45175.36	1159593.4	1174112.6	1171792.2
MON2	0	0	0	233845.86	275189.12	223408.36	680558.3	710868.7	891498.75	0	0	0	1157072.6	1296719.1	1150280.2
UBE3B	0	0	0	0	0	0	38317.2	41153.17	135930.3	0	0	0	0	0	0
KRT27	0	0	0	0	0	0	0	0	0	0	105843.86	0	0	0	0
KRT25	0	0	0	0	0	0	0	0	0	0	77336.34	0	0	0	0
DENND4A	0	0	0	1696616.9	1803426	1913268.6	2129691.2	1815831.2	1889435.2	142328.6	444495.7	669457.94	4082663.8	3910994.2	3573312.5
NUFIP2	0	0	0	374210.22	643156.2	552544.9	0	32618.75	29582.883	0	0	0	105538.06	95006.555	82009.44
SZRD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAVS	0	0	4491.927	184511.05	195613.48	164694.06	49151.707	121403.516	41704.74	20201.086	59961.56	46192.48	453008.2	422486.97	497324.75
CLASP1	0	0	0	141332.1	165363.62	51146.92	50945.977	59805.742	0	0	0	0	35621.004	0	0
DHX29	0	0	0	2764157.2	2511218.2	2815072.8	1010204.2	864393.25	1211352.9	0	9991.442	7618.5625	1469967.8	1197840.6	1173716.1
NPHP3	0	0	0	0	0	0	17714.201	0	0	0	0	0	0	0	0
TRMT11	4384.111	0	0	97954.65	153095.61	56586.14	31853.703	94893.28	82256.11	66770.57	61327.33	24080.41	164209.31	60262.375	75314.125
HDDC2	21762.947	36298.797	18234.168	34986.34	76421.36	59799.094	41851.047	89086.016	57245.812	28341.225	21475.875	25230.25	115926	101617.086	141506.19
HAUS6	0	0	0	2742007.8	2231043.2	1987159.8	509472.84	373833.12	553206.2	0	0	0	732021.56	784074.1	813526.8
POGLUT3	0	0	0	25502.469	0	0	0	0	0	0	0	0	0	0	0
TTC21B	0	0	0	0	0	17398.02	0	0	0	0	0	0	0	0	0
HEATR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf120	0	0	0	0	0	0	9733.485	0	6456.737	0	0	0	22821.543	22650.459	20660.059
KIF21A	0	0	0	88775.28	48748.805	126602.25	17831.832	0	0	0	0	0	24809.527	0	0
HDGFL2	32468.963	53830	50248.703	240144.7	272449.47	264531.1	99438.25	146479.06	104615.45	44319.465	77363.12	60833.348	218681.89	156477.66	128850.86
DCXR	0	16408.762	0	0	16492.639	24793.291	43628.98	72407.336	37017.145	67521.26	101255.08	124300.05	56216.418	45545.07	96619.27
BRAP	0	0	0	106731.13	56876.594	50243.816	19316.863	36995.33	8881.678	0	0	0	51894.1	45256.83	24700.49
EMSY	0	0	0	330622.66	415329.22	387285.16	0	0	0	0	0	0	0	0	0
GOLGA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP22	0	0	0	0	0	0	49782.39	27413.914	20335.184	0	0	0	0	0	0
RAI1	0	0	0	604141.94	617959.44	397103.06	0	0	0	0	0	0	0	0	0
WAPL	0	144126.19	128705.79	1915406.8	2066475	1952044.8	42219.625	44626.258	40093.836	0	0	83379.16	221832.06	174298.2	319606.44
R3HCC1L	0	0	0	39386.97	214131.31	147686.73	10577.124	0	16586.459	0	0	0	0	19620.736	21388.715
IRF2BP2	0	0	0	93498.805	100368.6	24175.7	0	0	0	0	0	0	1860.6844	42742.93	0
SDK1	0	0	0	0	0	0	41954.75	103222.695	44114.25	0	0	0	186362.25	465251.1	259006.36
NET1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRED2	0	0	0	0	0	0	57350.81	0	24120.238	0	0	0	0	17862.518	13777.147
SPRED1	0	0	0	0	0	0	21805.21	0	0	0	0	0	0	0	29450.893
CCDC91	0	0	0	127681.56	127663.77	125849.22	0	0	0	0	0	0	0	0	0
RBBP6	0	0	0	993710.94	1195269.4	1231831.2	245703.08	216785.81	188200.9	123055.2	392647.88	230116.4	512452.7	369824.5	369427
C5orf24	23817.334	31453.072	17790.799	0	0	56780.85	33376.035	45038.953	0	0	114779.76	0	83803.016	37103.477	48493.14
UBE3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THAP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABEPK	0	11341.1	0	0	29409.797	0	0	0	23527.82	0	0	0	37300.945	9805.545	0
HUWE1	7733.9043	19673.637	10887.706	2508013	2121931.5	1791345	944339.94	660001.5	1082687	11239.1455	80693.25	335604	3328029	1883135	2691807.8
PLEKHH3	0	0	0	0	0	0	51113.277	27804.18	104623.22	0	0	0	430172.9	397618.16	374360.2
YTHDF3	0	0	0	69256.234	87731.664	68495.54	41779.492	44261.973	44154.227	0	0	0	0	0	0
KRT77	0	181327.05	0	0	0	0	0	0	0	0	1490788	0	0	0	0
CNTRL	0	0	0	0	10122.934	0	0	0	0	0	0	0	8816.806	0	0
TAF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q1	0	0	2663.5303	57949.707	48210.977	53188.65	94278.5	91507.44	93383.75	0	0	0	104026.625	0	15647.588
KHDC4	0	0	0	0	0	39853.58	0	0	0	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	3663881.2	95495.06	146836.55	5921305.5	263834.06	8975559	0	193479.7	64219.2
VPS13B	0	0	0	12515.11	339239.22	0	0	0	0	0	0	0	299816.44	337551.1	198393.72
MRPL10	0	0	0	0	0	0	0	0	0	0	51262.297	59569.59	24190.705	0	0
CENPV	0	0	0	0	23334.51	15744.96	0	0	0	0	0	0	0	0	12679.453
SLFN11	22675.027	76711.67	5754.9385	147271.78	358049.94	269189.56	143127.16	176138.95	74415.914	29963.941	80632.11	75701.05	381746.03	321360.9	297637.7
MEGF8	0	0	0	0	0	14698.637	0	0	0	0	0	0	0	0	0
GALNT7	0	0	0	0	0	0	0	0	0	0	0	0	0	24933.895	0
PHLDB2	0	0	0	38253.523	61172.074	16068.552	101679.67	102172.65	194178.69	0	0	0	22735.424	0	0
ADGRG6	0	0	0	0	0	0	0	0	0	0	0	0	55582.258	34587.582	46393.31
SDCCAG8	0	0	0	37784.96	100329.52	32904.5	0	0	0	0	0	0	0	0	0
TEDC1	0	0	0	0	0	0	64865.605	0	64688.105	0	0	0	0	0	0
GLRX5	0	0	0	0	0	0	32713.8	39827.008	34972.242	33152.645	45559.203	59002.086	0	51631.03	35939.52
PIP4P1	0	0	0	0	0	0	0	0	10191.155	0	0	0	0	13191.594	0
ZBTB33	0	0	0	1036400.56	1439105.9	1384087.9	65019.05	51380.207	50125.254	0	0	0	269002	208814.5	192362.86
DAAM2	0	0	0	0	0	0	39288.93	25082.875	78134.48	0	0	0	30568.89	0	23598.406
PATL1	0	0	0	199131.7	149638.98	157776.22	36837.62	78362.24	88905.93	0	0	0	42677.18	37563.973	13191.119
PEG10	31751.492	41717.023	38096	130156.81	94691.66	98545.45	85404.74	95717.15	76469.195	28365.148	35661.723	45308.887	120456.14	87449.51	107203.625
TBC1D1	0	0	0	0	25932.059	0	0	0	16132.827	0	0	0	356705	540187.7	440283.2
DPP9	0	0	0	0	13286.399	0	0	0	0	0	6076.182	0	0	9921.105	0
TADA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF554	0	0	0	37795.758	24219.854	21857.59	0	0	0	0	0	0	0	0	0
PRUNE1	0	0	0	0	23659.361	16795.773	0	0	16933.81	0	0	0	3983.5518	43939.586	0
TTC7B	0	0	0	0	0	0	1971121.5	659117.9	1319072.4	0	0	0	0	0	26584.23
RBM23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPN1	0	0	0	0	0	0	0	0	0	17009.447	0	0	0	0	0
METTL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDB1	0	0	0	10174.198	9319.577	9007.377	0	0	0	0	0	0	0	0	0
PBRM1	0	0	0	1484135	1757631	1394788.4	39350.062	43274.95	86990.945	0	0	0	117144.64	104817.72	50537.05
SAPCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15611.465
MTDH	0	0	0	0	76577.24	65330.47	215605	202921.44	258498.12	0	0	0	138801.52	213223.61	197390.56
TLK2	0	0	0	45221.88	39875.844	0	0	0	0	0	0	0	22397.033	0	0
ZNF598	10733.201	0	0	781610	851596.3	821310.25	540604.25	453032.94	535418.8	7007.475	0	10294.467	320313.97	485831.66	461261.97
GPAT4	0	0	0	0	0	0	64767.31	68972.695	74760	0	0	0	79380.86	48718.082	37440.8
KTN1	0	0	0	325129.3	459859.38	269156.94	235435.05	251607.67	372476.12	0	0	0	342383.78	410794.28	356109.62
ZFHX4	0	0	0	1318823.8	1583145.6	1579769.4	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	15593.718	0	0	0	0	0	0	0	0
NLRX1	0	0	0	0	0	0	0	0	0	0	65223.96	54199.562	0	0	0
PHLDB1	0	0	0	0	0	0	154355.81	79242.05	189614.55	0	0	0	0	0	30142.174
USP48	0	13642.814	15785.789	82899.57	55047.53	65154.734	0	13950.443	0	0	0	21633.61	27138.82	16121.432	112591.81
N4BP2	0	0	0	1192814	956185.3	1249506.1	12912.546	0	8447.097	0	0	0	2784000.5	2919211.5	2719821.8
CASZ1	0	0	0	490365.66	625846.44	489503.97	0	0	0	0	0	0	0	0	0
SHLD2	0	0	0	44611.086	13086.434	0	0	0	0	0	0	0	0	0	0
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	29083.154	6248.155
LUZP1	0	0	0	142854.05	216146.2	276841.62	188578.14	142021.08	127128.66	0	0	0	119333.58	55592.46	99331.94
ALYREF	0	0	4641.4883	87863.97	63767.23	68366.83	0	0	0	0	0	0	0	0	0
KBTBD6	0	0	0	25036.889	43412.11	14334.459	16432.736	16809.322	0	0	0	0	15216.549	11796.898	0
SLC25A42	0	0	0	0	0	0	0	0	0	0	21943.14	0	0	0	0
IFTAP	0	0	0	64270.24	64687.406	47732	0	0	0	0	0	0	38219.062	32306.797	33347.926
IQGAP3	0	0	0	0	0	0	224972.23	171859.42	27265.727	0	0	0	0	0	0
ZC3H18	0	0	0	0	109710.83	10179.834	0	0	0	0	0	20920.209	0	0	0
PACS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAND1	0	28604.102	36101.953	1126500.1	1228513.8	1075636.8	1155366	1004375.8	1210848.1	135122.31	170225.05	326032.3	1556759.6	1343006.8	1470875.6
GLCCI1	0	0	0	0	0	10093.041	0	0	0	0	0	0	0	0	0
RETREG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOOK3	0	0	0	40684.55	109354.23	90011.74	30329.125	53930.992	12152.554	0	0	0	75949.88	12931.079	65541.516
RTTN	0	0	0	24401.676	0	0	0	0	0	0	0	0	0	0	0
ARHGEF25	0	0	0	0	0	0	268868.4	194450.17	249849.34	0	0	0	205649.19	26848.88	220221.05
COMMD7	0	2838.299	0	0	0	0	0	0	0	0	0	0	0	0	0
THOC6	4623.0557	0	0	0	48182.664	0	23719.12	10911.008	0	0	0	0	28017.074	0	37891.695
METTL16	0	0	0	0	0	12991.029	0	21920.469	0	0	0	0	0	0	43160.293
SPATA24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARG	9151.826	87168.98	12486.89	46026.066	35801.81	44250.867	127839.67	95814.6	134764.84	18563.246	21156.115	39939.8	93848.14	108621.15	96821.016
PPFIBP1	0	0	0	164540.53	221296.2	160706.56	2193822	1965388.8	2600446.5	0	0	0	563418.75	453528.3	556269.06
ZC3HC1	42965.543	49409.21	72385.36	337307.3	254256.55	249179.83	60734.094	104631.55	60541.81	0	19103.281	98515	329345.53	197432.62	221368.9
SBF2	0	0	0	0	0	0	72741.3	102583.62	92061.7	0	0	0	0	0	0
CHD1L	0	0	0	0	11374.248	0	0	0	0	0	0	0	0	22980.234	22345.117
GPBP1	0	0	0	42740.76	116401.875	0	0	0	0	0	0	0	0	0	0
CCDC25	13775.033	17944.445	16792.863	55789.24	32967.21	66864.12	47582.453	52676.438	18667.979	0	0	51819.7	74650.89	77895.12	90744.97
RPS19BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR2L	0	0	0	276997.25	231614.97	178466.88	0	0	0	0	0	0	54563.61	47795.812	108877.305
RALGAPB	0	0	0	137174.62	116891.21	79684.37	130697.97	156376.45	111231.2	17379.535	0	24404.523	912362.8	591125.8	563490.75
LSR	0	0	0	0	0	0	591460.94	486032.03	654617.5	0	0	0	167266.03	177192.62	229917.14
CHSY1	0	0	0	0	0	0	0	0	0	0	0	27128.584	0	0	0
ERICH1	0	0	0	41310.117	0	0	0	0	0	0	0	0	0	0	0
CARM1	119416.34	122976.79	64406.35	0	0	59267.27	23375.979	91448.086	27063.428	21379.957	38183.703	95172.58	122245.41	193550.9	194596.53
